date,Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State,Cluster
2012-01-01,2012,Jan,63.3,56.3,18456650,16397835,2058815,11.2,California,4
2012-02-01,2012,Feb,63.2,56.3,18447162,16411184,2035978,11,California,4
2012-03-01,2012,Mar,63.2,56.3,18445792,16424830,2020962,11,California,4
2012-04-01,2012,Apr,63.1,56.3,18449665,16440520,2009145,10.9,California,4
2012-05-01,2012,May,63.1,56.3,18457489,16462781,1994708,10.8,California,4
2012-06-01,2012,Jun,63.1,56.3,18468110,16494261,1973849,10.7,California,4
2012-07-01,2012,Jul,63.1,56.4,18479876,16534689,1945187,10.5,California,4
2012-08-01,2012,Aug,63,56.5,18494681,16581684,1912997,10.3,California,4
2012-09-01,2012,Sep,63,56.6,18515366,16631825,1883541,10.2,California,4
2012-10-01,2012,Oct,63.1,56.7,18536565,16678616,1857949,10,California,4
2012-11-01,2012,Nov,63,56.8,18553309,16717341,1835968,9.9,California,4
2012-12-01,2012,Dec,63,56.9,18562700,16747321,1815379,9.8,California,4
2013-01-01,2013,Jan,63,56.9,18564212,16769858,1794354,9.7,California,4
2013-02-01,2013,Feb,62.9,56.9,18561589,16789624,1771965,9.5,California,4
2013-03-01,2013,Mar,62.9,56.9,18560032,16812502,1747530,9.4,California,4
2013-04-01,2013,Apr,62.8,57,18565682,16842626,1723056,9.3,California,4
2013-05-01,2013,May,62.8,57,18576563,16874399,1702164,9.2,California,4
2013-06-01,2013,Jun,62.8,57.1,18587359,16900895,1686464,9.1,California,4
2013-07-01,2013,Jul,62.7,57.1,18593103,16919448,1673655,9,California,4
2013-08-01,2013,Aug,62.7,57.1,18587188,16930930,1656258,8.9,California,4
2013-09-01,2013,Sep,62.5,57,18570217,16939401,1630816,8.8,California,4
2013-10-01,2013,Oct,62.4,57,18553825,16951113,1602712,8.6,California,4
2013-11-01,2013,Nov,62.3,57,18547876,16971722,1576154,8.5,California,4
2013-12-01,2013,Dec,62.3,57.1,18554149,17001882,1552267,8.4,California,4
2014-01-01,2014,Jan,62.3,57.2,18569356,17040259,1529097,8.2,California,4
2014-02-01,2014,Feb,62.3,57.3,18588369,17083487,1504882,8.1,California,4
2014-03-01,2014,Mar,62.3,57.4,18608224,17126546,1481678,8,California,4
2014-04-01,2014,Apr,62.3,57.4,18624963,17164661,1460302,7.8,California,4
2014-05-01,2014,May,62.3,57.5,18638929,17200175,1438754,7.7,California,4
2014-06-01,2014,Jun,62.3,57.6,18656005,17238675,1417330,7.6,California,4
2014-07-01,2014,Jul,62.3,57.7,18677566,17279967,1397599,7.5,California,4
2014-08-01,2014,Aug,62.3,57.7,18704813,17324005,1380808,7.4,California,4
2014-09-01,2014,Sep,62.4,57.8,18735234,17369795,1365439,7.3,California,4
2014-10-01,2014,Oct,62.4,57.9,18760622,17413762,1346860,7.2,California,4
2014-11-01,2014,Nov,62.4,58,18775765,17451977,1323788,7.1,California,4
2014-12-01,2014,Dec,62.4,58,18785368,17484592,1300776,6.9,California,4
2015-01-01,2015,Jan,62.3,58.1,18794302,17513360,1280942,6.8,California,4
2015-02-01,2015,Feb,62.3,58.1,18804573,17539526,1265047,6.7,California,4
2015-03-01,2015,Mar,62.3,58.2,18816299,17566611,1249688,6.6,California,4
2015-04-01,2015,Apr,62.3,58.2,18826398,17594659,1231739,6.5,California,4
2015-05-01,2015,May,62.3,58.3,18830333,17620363,1209970,6.4,California,4
2015-06-01,2015,Jun,62.2,58.3,18825613,17640900,1184713,6.3,California,4
2015-07-01,2015,Jul,62.1,58.3,18816836,17658045,1158791,6.2,California,4
2015-08-01,2015,Aug,62,58.3,18810236,17674840,1135396,6,California,4
2015-09-01,2015,Sep,62,58.3,18810658,17695331,1115327,5.9,California,4
2015-10-01,2015,Oct,62,58.4,18824385,17724466,1099919,5.8,California,4
2015-11-01,2015,Nov,62,58.4,18852382,17762494,1089888,5.8,California,4
2015-12-01,2015,Dec,62.1,58.5,18886247,17804150,1082097,5.7,California,4
2016-01-01,2016,Jan,62.1,58.6,18917326,17843140,1074186,5.7,California,4
2016-02-01,2016,Feb,62.2,58.7,18941962,17875645,1066317,5.6,California,4
2016-03-01,2016,Mar,62.2,58.7,18959258,17901022,1058236,5.6,California,4
2016-04-01,2016,Apr,62.2,58.7,18973207,17921613,1051594,5.5,California,4
2016-05-01,2016,May,62.2,58.8,18989520,17941250,1048270,5.5,California,4
2016-06-01,2016,Jun,62.2,58.8,19008579,17961187,1047392,5.5,California,4
2016-07-01,2016,Jul,62.2,58.8,19028074,17981056,1047018,5.5,California,4
2016-08-01,2016,Aug,62.2,58.8,19046039,17999607,1046432,5.5,California,4
2016-09-01,2016,Sep,62.2,58.8,19061155,18015129,1046026,5.5,California,4
2016-10-01,2016,Oct,62.2,58.8,19071727,18028383,1043344,5.5,California,4
2016-11-01,2016,Nov,62.2,58.8,19079948,18044658,1035290,5.4,California,4
2016-12-01,2016,Dec,62.2,58.9,19090083,18068401,1021682,5.4,California,4
2017-01-01,2017,Jan,62.2,58.9,19107737,18104833,1002904,5.2,California,4
2017-02-01,2017,Feb,62.2,59,19127260,18143666,983594,5.1,California,4
2017-03-01,2017,Mar,62.3,59.1,19149284,18183179,966105,5,California,4
2017-04-01,2017,Apr,62.3,59.2,19172412,18220082,952330,5,California,4
2017-05-01,2017,May,62.4,59.3,19193658,18252450,941208,4.9,California,4
2017-06-01,2017,Jun,62.4,59.4,19209913,18277837,932076,4.9,California,4
2017-07-01,2017,Jul,62.4,59.4,19220058,18295974,924084,4.8,California,4
2017-08-01,2017,Aug,62.3,59.4,19221629,18307232,914397,4.8,California,4
2017-09-01,2017,Sep,62.3,59.4,19215041,18312935,902106,4.7,California,4
2017-10-01,2017,Oct,62.2,59.3,19204052,18316581,887471,4.6,California,4
2017-11-01,2017,Nov,62.2,59.3,19193135,18320848,872287,4.5,California,4
2017-12-01,2017,Dec,62.1,59.3,19189000,18331881,857119,4.5,California,4
2018-01-01,2018,Jan,62.1,59.4,19198144,18354112,844032,4.4,California,4
2018-02-01,2018,Feb,62.2,59.5,19223127,18389120,834007,4.3,California,4
2018-03-01,2018,Mar,62.3,59.6,19257396,18431283,826113,4.3,California,4
2018-04-01,2018,Apr,62.4,59.7,19287831,18468594,819237,4.2,California,4
2018-05-01,2018,May,62.4,59.8,19305583,18491362,814221,4.2,California,4
2018-06-01,2018,Jun,62.4,59.8,19310277,18499191,811086,4.2,California,4
2018-07-01,2018,Jul,62.3,59.7,19305159,18495803,809356,4.2,California,4
2018-08-01,2018,Aug,62.3,59.7,19299752,18488583,811169,4.2,California,4
2018-09-01,2018,Sep,62.3,59.6,19300343,18483342,817001,4.2,California,4
2018-10-01,2018,Oct,62.3,59.6,19308507,18483737,824770,4.3,California,4
2018-11-01,2018,Nov,62.3,59.6,19321690,18490160,831530,4.3,California,4
2018-12-01,2018,Dec,62.3,59.6,19335749,18501839,833910,4.3,California,4
2019-01-01,2019,Jan,62.4,59.7,19346362,18516404,829958,4.3,California,4
2019-02-01,2019,Feb,62.4,59.7,19351682,18532272,819410,4.2,California,4
2019-03-01,2019,Mar,62.4,59.8,19354512,18548250,806262,4.2,California,4
2019-04-01,2019,Apr,62.4,59.8,19360091,18566280,793811,4.1,California,4
2019-05-01,2019,May,62.4,59.9,19369999,18584927,785072,4.1,California,4
2019-06-01,2019,Jun,62.4,59.9,19383861,18601627,782234,4,California,4
2019-07-01,2019,Jul,62.5,59.9,19400003,18615002,785001,4,California,4
2019-08-01,2019,Aug,62.5,60,19417606,18628076,789530,4.1,California,4
2019-09-01,2019,Sep,62.6,60,19440418,18649671,790747,4.1,California,4
2019-10-01,2019,Oct,62.6,60.1,19471434,18680037,791397,4.1,California,4
2019-11-01,2019,Nov,62.7,60.2,19507623,18714185,793438,4.1,California,4
2019-12-01,2019,Dec,62.8,60.3,19535597,18738543,797054,4.1,California,4
2020-01-01,2020,Jan,62.8,60.3,19545409,18744753,800656,4.1,California,4
2020-02-01,2020,Feb,62.8,60.2,19536350,18733837,802513,4.1,California,4
2020-03-01,2020,Mar,61.9,58.6,19267549,18213641,1053908,5.5,California,4
2020-04-01,2020,Apr,60,50.4,18651174,15685944,2965230,15.9,California,4
2020-05-01,2020,May,59.8,50.2,18606506,15604432,3002074,16.1,California,4
2020-06-01,2020,Jun,61.2,52.6,19042530,16365183,2677347,14.1,California,4
2020-07-01,2020,Jul,61.3,53.1,19059395,16506245,2553150,13.4,California,4
2020-08-01,2020,Aug,60.7,53.4,18869585,16616651,2252934,11.9,California,4
2020-09-01,2020,Sep,60,53.8,18666533,16740763,1925770,10.3,California,4
2020-10-01,2020,Oct,59.8,54.1,18584660,16820478,1764182,9.5,California,4
2020-11-01,2020,Nov,59.8,54.3,18600782,16892595,1708187,9.2,California,4
2020-12-01,2020,Dec,60.1,54.6,18670917,16957946,1712971,9.2,California,4
2021-01-01,2021,Jan,60.1,54.8,18657907,17020492,1637415,8.8,California,4
2021-02-01,2021,Feb,60.3,55.1,18706712,17099131,1607581,8.6,California,4
2021-03-01,2021,Mar,60.5,55.4,18781662,17199917,1581745,8.4,California,4
2021-04-01,2021,Apr,60.9,55.8,18881824,17310628,1571196,8.3,California,4
2021-05-01,2021,May,61,56.2,18913379,17414749,1498630,7.9,California,4
2021-06-01,2021,Jun,61.3,56.5,19021240,17517358,1503882,7.9,California,4
2021-07-01,2021,Jul,61.3,56.8,19016323,17609627,1406696,7.4,California,4
2021-08-01,2021,Aug,61.4,57.1,19049309,17709087,1340222,7,California,4
2021-09-01,2021,Sep,61.3,57.4,19006826,17788720,1218106,6.4,California,4
2021-10-01,2021,Oct,61.4,57.6,19024355,17860812,1163543,6.1,California,4
2021-11-01,2021,Nov,61.2,57.6,18963995,17860281,1103714,5.8,California,4
2021-12-01,2021,Dec,61.1,57.6,18946015,17850959,1095056,5.8,California,4
2022-01-01,2022,Jan,61.5,58,19064484,17960170,1104314,5.8,California,4
2012-01-01,2012,Jan,58.3,53.4,2179750,1993523,186227,8.5,Alabama,0
2012-02-01,2012,Feb,58.2,53.3,2175635,1992089,183546,8.4,Alabama,0
2012-03-01,2012,Mar,58.1,53.2,2173644,1991104,182540,8.4,Alabama,0
2012-04-01,2012,Apr,58.1,53.2,2173494,1991037,182457,8.4,Alabama,0
2012-05-01,2012,May,58.1,53.2,2174754,1992484,182270,8.4,Alabama,0
2012-06-01,2012,Jun,58.1,53.3,2176818,1995546,181272,8.3,Alabama,0
2012-07-01,2012,Jul,58.2,53.4,2178985,1999860,179125,8.2,Alabama,0
2012-08-01,2012,Aug,58.2,53.5,2180942,2004716,176226,8.1,Alabama,0
2012-09-01,2012,Sep,58.2,53.6,2182771,2009352,173419,7.9,Alabama,0
2012-10-01,2012,Oct,58.2,53.6,2184006,2012918,171088,7.8,Alabama,0
2012-11-01,2012,Nov,58.2,53.7,2184400,2015057,169343,7.8,Alabama,0
2012-12-01,2012,Dec,58.1,53.7,2183700,2015725,167975,7.7,Alabama,0
2013-01-01,2013,Jan,58.1,53.6,2181651,2015043,166608,7.6,Alabama,0
2013-02-01,2013,Feb,58,53.6,2178756,2013876,164880,7.6,Alabama,0
2013-03-01,2013,Mar,57.9,53.5,2175993,2013323,162670,7.5,Alabama,0
2013-04-01,2013,Apr,57.8,53.5,2174613,2014210,160403,7.4,Alabama,0
2013-05-01,2013,May,57.8,53.6,2174482,2015808,158674,7.3,Alabama,0
2013-06-01,2013,Jun,57.8,53.6,2174677,2016898,157779,7.3,Alabama,0
2013-07-01,2013,Jul,57.7,53.5,2174320,2016720,157600,7.2,Alabama,0
2013-08-01,2013,Aug,57.7,53.5,2172637,2015204,157433,7.2,Alabama,0
2013-09-01,2013,Sep,57.6,53.4,2169847,2013022,156825,7.2,Alabama,0
2013-10-01,2013,Oct,57.5,53.3,2167230,2011093,156137,7.2,Alabama,0
2013-11-01,2013,Nov,57.4,53.3,2165715,2010028,155687,7.2,Alabama,0
2013-12-01,2013,Dec,57.4,53.2,2165388,2009949,155439,7.2,Alabama,0
2014-01-01,2014,Jan,57.4,53.3,2165971,2010942,155029,7.2,Alabama,0
2014-02-01,2014,Feb,57.4,53.3,2166876,2012653,154223,7.1,Alabama,0
2014-03-01,2014,Mar,57.4,53.3,2167429,2014263,153166,7.1,Alabama,0
2014-04-01,2014,Apr,57.3,53.3,2166887,2015052,151835,7,Alabama,0
2014-05-01,2014,May,57.3,53.3,2165427,2015410,150017,6.9,Alabama,0
2014-06-01,2014,Jun,57.2,53.3,2164102,2016249,147853,6.8,Alabama,0
2014-07-01,2014,Jul,57.2,53.3,2163245,2017648,145597,6.7,Alabama,0
2014-08-01,2014,Aug,57.1,53.4,2162943,2019514,143429,6.6,Alabama,0
2014-09-01,2014,Sep,57.1,53.4,2162865,2021615,141250,6.5,Alabama,0
2014-10-01,2014,Oct,57.1,53.4,2162682,2023989,138693,6.4,Alabama,0
2014-11-01,2014,Nov,57.1,53.5,2162723,2026910,135813,6.3,Alabama,0
2014-12-01,2014,Dec,57.1,53.6,2163996,2030603,133393,6.2,Alabama,0
2015-01-01,2015,Jan,57.1,53.6,2166771,2034786,131985,6.1,Alabama,0
2015-02-01,2015,Feb,57.2,53.7,2170601,2038928,131673,6.1,Alabama,0
2015-03-01,2015,Mar,57.3,53.8,2174960,2042936,132024,6.1,Alabama,0
2015-04-01,2015,Apr,57.2,53.7,2170166,2037552,132614,6.1,Alabama,0
2015-05-01,2015,May,57,53.5,2164519,2031470,133049,6.1,Alabama,0
2015-06-01,2015,Jun,56.8,53.3,2157472,2024484,132988,6.2,Alabama,0
2015-07-01,2015,Jul,56.6,53.1,2149701,2017218,132483,6.2,Alabama,0
2015-08-01,2015,Aug,56.4,52.9,2142296,2010491,131805,6.2,Alabama,0
2015-09-01,2015,Sep,56.2,52.7,2136055,2004972,131083,6.1,Alabama,0
2015-10-01,2015,Oct,56.1,52.7,2135797,2005232,130565,6.1,Alabama,0
2015-11-01,2015,Nov,55.9,52.5,2127937,1997567,130370,6.1,Alabama,0
2015-12-01,2015,Dec,56,52.6,2133700,2003525,130175,6.1,Alabama,0
2016-01-01,2016,Jan,56.2,52.8,2138981,2009234,129747,6.1,Alabama,0
2016-02-01,2016,Feb,56.3,52.9,2143456,2014380,129076,6,Alabama,0
2016-03-01,2016,Mar,56.3,53,2146821,2018777,128044,6,Alabama,0
2016-04-01,2016,Apr,56.4,53,2149261,2022346,126915,5.9,Alabama,0
2016-05-01,2016,May,56.4,53.1,2151573,2025350,126223,5.9,Alabama,0
2016-06-01,2016,Jun,56.5,53.2,2154315,2028210,126105,5.9,Alabama,0
2016-07-01,2016,Jul,56.5,53.2,2157474,2031143,126331,5.9,Alabama,0
2016-08-01,2016,Aug,56.6,53.3,2160744,2034025,126719,5.9,Alabama,0
2016-09-01,2016,Sep,56.6,53.3,2163777,2036649,127128,5.9,Alabama,0
2016-10-01,2016,Oct,56.7,53.3,2166110,2039127,126983,5.9,Alabama,0
2016-11-01,2016,Nov,56.7,53.4,2167734,2042073,125661,5.8,Alabama,0
2016-12-01,2016,Dec,56.7,53.5,2168771,2045834,122937,5.7,Alabama,0
2017-01-01,2017,Jan,56.7,53.6,2199177,2079074,120103,5.5,Alabama,0
2017-02-01,2017,Feb,56.7,53.7,2199698,2084290,115408,5.2,Alabama,0
2017-03-01,2017,Mar,56.7,53.8,2200069,2089481,110588,5,Alabama,0
2017-04-01,2017,Apr,56.7,53.9,2200718,2094737,105981,4.8,Alabama,0
2017-05-01,2017,May,56.7,54,2201642,2100033,101609,4.6,Alabama,0
2017-06-01,2017,Jun,56.7,54.1,2202497,2104727,97770,4.4,Alabama,0
2017-07-01,2017,Jul,56.6,54.2,2203232,2108489,94743,4.3,Alabama,0
2017-08-01,2017,Aug,56.6,54.2,2203843,2111469,92374,4.2,Alabama,0
2017-09-01,2017,Sep,56.6,54.3,2204575,2114006,90569,4.1,Alabama,0
2017-10-01,2017,Oct,56.6,54.3,2205842,2116522,89320,4,Alabama,0
2017-11-01,2017,Nov,56.6,54.4,2207993,2119284,88709,4,Alabama,0
2017-12-01,2017,Dec,56.7,54.4,2211270,2122773,88497,4,Alabama,0
2018-01-01,2018,Jan,56.8,54.5,2215937,2127350,88587,4,Alabama,0
2018-02-01,2018,Feb,56.9,54.7,2222103,2133317,88786,4,Alabama,0
2018-03-01,2018,Mar,57.1,54.8,2228853,2139997,88856,4,Alabama,0
2018-04-01,2018,Apr,57.2,54.9,2234574,2145919,88655,4,Alabama,0
2018-05-01,2018,May,57.3,55,2238465,2150167,88298,3.9,Alabama,0
2018-06-01,2018,Jun,57.3,55.1,2240876,2153088,87788,3.9,Alabama,0
2018-07-01,2018,Jul,57.3,55.1,2242350,2155244,87106,3.9,Alabama,0
2018-08-01,2018,Aug,57.3,55.1,2243996,2157370,86626,3.9,Alabama,0
2018-09-01,2018,Sep,57.4,55.1,2246632,2160101,86531,3.9,Alabama,0
2018-10-01,2018,Oct,57.4,55.2,2250621,2163967,86654,3.9,Alabama,0
2018-11-01,2018,Nov,57.5,55.3,2255669,2168950,86719,3.8,Alabama,0
2018-12-01,2018,Dec,57.6,55.4,2261102,2174814,86288,3.8,Alabama,0
2019-01-01,2019,Jan,57.7,55.6,2265764,2180940,84824,3.7,Alabama,0
2019-02-01,2019,Feb,57.8,55.7,2268650,2186701,81949,3.6,Alabama,0
2019-03-01,2019,Mar,57.8,55.8,2269750,2191746,78004,3.4,Alabama,0
2019-04-01,2019,Apr,57.8,55.9,2269762,2196117,73645,3.2,Alabama,0
2019-05-01,2019,May,57.7,56,2269477,2199812,69665,3.1,Alabama,0
2019-06-01,2019,Jun,57.7,56,2269511,2202685,66826,2.9,Alabama,0
2019-07-01,2019,Jul,57.7,56,2270281,2204772,65509,2.9,Alabama,0
2019-08-01,2019,Aug,57.7,56,2271806,2206223,65583,2.9,Alabama,0
2019-09-01,2019,Sep,57.7,56,2273771,2207294,66477,2.9,Alabama,0
2019-10-01,2019,Oct,57.7,56,2275680,2207568,68112,3,Alabama,0
2019-11-01,2019,Nov,57.7,55.9,2276674,2206498,70176,3.1,Alabama,0
2019-12-01,2019,Dec,57.6,55.8,2275425,2202912,72513,3.2,Alabama,0
2020-01-01,2020,Jan,57.5,55.6,2271707,2196647,75060,3.3,Alabama,0
2020-02-01,2020,Feb,57.4,55.4,2266396,2188425,77971,3.4,Alabama,0
2020-03-01,2020,Mar,57.2,55.2,2261366,2180272,81094,3.6,Alabama,0
2020-04-01,2020,Apr,55.4,47.8,2189708,1890788,298920,13.7,Alabama,0
2020-05-01,2020,May,57.4,51.5,2270749,2035223,235526,10.4,Alabama,0
2020-06-01,2020,Jun,57.5,52.5,2276235,2077480,198755,8.7,Alabama,0
2020-07-01,2020,Jul,57.8,53.4,2287268,2111266,176002,7.7,Alabama,0
2020-08-01,2020,Aug,57.7,53.9,2285319,2134930,150389,6.6,Alabama,0
2020-09-01,2020,Sep,57.8,54.3,2290413,2151241,139172,6.1,Alabama,0
2020-10-01,2020,Oct,57.5,54.5,2280554,2159691,120863,5.3,Alabama,0
2020-11-01,2020,Nov,57.3,54.6,2271915,2162940,108975,4.8,Alabama,0
2020-12-01,2020,Dec,57.1,54.6,2263225,2163877,99348,4.4,Alabama,0
2021-01-01,2021,Jan,56.9,54.6,2255058,2164668,90390,4,Alabama,0
2021-02-01,2021,Feb,56.8,54.6,2251260,2166202,85058,3.8,Alabama,0
2021-03-01,2021,Mar,56.7,54.6,2250687,2168244,82443,3.7,Alabama,0
2021-04-01,2021,Apr,56.7,54.7,2251194,2169595,81599,3.6,Alabama,0
2021-05-01,2021,May,56.7,54.6,2249901,2169710,80191,3.6,Alabama,0
2021-06-01,2021,Jun,56.6,54.6,2247768,2168329,79439,3.5,Alabama,0
2021-07-01,2021,Jul,56.5,54.5,2244144,2167068,77076,3.4,Alabama,0
2021-08-01,2021,Aug,56.3,54.5,2241293,2166788,74505,3.3,Alabama,0
2021-09-01,2021,Sep,56.3,54.5,2240353,2168364,71989,3.2,Alabama,0
2021-10-01,2021,Oct,56.3,54.5,2241442,2170873,70569,3.1,Alabama,0
2021-11-01,2021,Nov,56.2,54.5,2242078,2172390,69688,3.1,Alabama,0
2021-12-01,2021,Dec,56.2,54.5,2242275,2172841,69434,3.1,Alabama,0
2022-01-01,2022,Jan,56.4,54.7,2250379,2181238,69141,3.1,Alabama,0
2012-01-01,2012,Jan,61.3,56,3048161,2782738,265423,8.7,Arizona,0
2012-02-01,2012,Feb,61.3,56,3048882,2786310,262572,8.6,Arizona,0
2012-03-01,2012,Mar,61.2,56,3050044,2789251,260793,8.6,Arizona,0
2012-04-01,2012,Apr,61.2,56,3051345,2791656,259689,8.5,Arizona,0
2012-05-01,2012,May,61.1,55.9,3052719,2794227,258492,8.5,Arizona,0
2012-06-01,2012,Jun,61,55.9,3054066,2797416,256650,8.4,Arizona,0
2012-07-01,2012,Jul,61,55.9,3055366,2801303,254063,8.3,Arizona,0
2012-08-01,2012,Aug,60.9,55.9,3056822,2805561,251261,8.2,Arizona,0
2012-09-01,2012,Sep,60.9,55.9,3058702,2809750,248952,8.1,Arizona,0
2012-10-01,2012,Oct,60.8,55.9,3060209,2812844,247365,8.1,Arizona,0
2012-11-01,2012,Nov,60.8,55.9,3060910,2814217,246693,8.1,Arizona,0
2012-12-01,2012,Dec,60.7,55.8,3060362,2813704,246658,8.1,Arizona,0
2013-01-01,2013,Jan,60.6,55.7,3058620,2811785,246835,8.1,Arizona,0
2013-02-01,2013,Feb,60.5,55.6,3056893,2810201,246692,8.1,Arizona,0
2013-03-01,2013,Mar,60.4,55.5,3056334,2810619,245715,8,Arizona,0
2013-04-01,2013,Apr,60.3,55.5,3057784,2813639,244145,8,Arizona,0
2013-05-01,2013,May,60.3,55.5,3060694,2818192,242502,7.9,Arizona,0
2013-06-01,2013,Jun,60.3,55.6,3064094,2822985,241109,7.9,Arizona,0
2013-07-01,2013,Jul,60.3,55.6,3067255,2827358,239897,7.8,Arizona,0
2013-08-01,2013,Aug,60.2,55.6,3069196,2831079,238117,7.8,Arizona,0
2013-09-01,2013,Sep,60.2,55.5,3069703,2834283,235420,7.7,Arizona,0
2013-10-01,2013,Oct,60.1,55.5,3070375,2837884,232491,7.6,Arizona,0
2013-11-01,2013,Nov,60,55.5,3072551,2843115,229436,7.5,Arizona,0
2013-12-01,2013,Dec,60,55.6,3076382,2850146,226236,7.4,Arizona,0
2014-01-01,2014,Jan,60,55.7,3081484,2858474,223010,7.2,Arizona,0
2014-02-01,2014,Feb,60,55.8,3087246,2867319,219927,7.1,Arizona,0
2014-03-01,2014,Mar,60.1,55.8,3093246,2875911,217335,7,Arizona,0
2014-04-01,2014,Apr,60.1,55.9,3098896,2883663,215233,6.9,Arizona,0
2014-05-01,2014,May,60.1,56,3104438,2891087,213351,6.9,Arizona,0
2014-06-01,2014,Jun,60.1,56.1,3110915,2899220,211695,6.8,Arizona,0
2014-07-01,2014,Jul,60.2,56.1,3118643,2908222,210421,6.7,Arizona,0
2014-08-01,2014,Aug,60.3,56.2,3127937,2918301,209636,6.7,Arizona,0
2014-09-01,2014,Sep,60.4,56.3,3138216,2929099,209117,6.7,Arizona,0
2014-10-01,2014,Oct,60.4,56.4,3147375,2939396,207979,6.6,Arizona,0
2014-11-01,2014,Nov,60.5,56.5,3153926,2947951,205975,6.5,Arizona,0
2014-12-01,2014,Dec,60.5,56.6,3158664,2954989,203675,6.4,Arizona,0
2015-01-01,2015,Jan,60.4,56.6,3162393,2961081,201312,6.4,Arizona,0
2015-02-01,2015,Feb,60.4,56.6,3165741,2966433,199308,6.3,Arizona,0
2015-03-01,2015,Mar,60.4,56.6,3169469,2971786,197683,6.2,Arizona,0
2015-04-01,2015,Apr,60.4,56.7,3174046,2977647,196399,6.2,Arizona,0
2015-05-01,2015,May,60.4,56.7,3179024,2983595,195429,6.1,Arizona,0
2015-06-01,2015,Jun,60.4,56.7,3183495,2988875,194620,6.1,Arizona,0
2015-07-01,2015,Jul,60.4,56.7,3187178,2993303,193875,6.1,Arizona,0
2015-08-01,2015,Aug,60.3,56.7,3190286,2997349,192937,6,Arizona,0
2015-09-01,2015,Sep,60.3,56.7,3193508,3002093,191415,6,Arizona,0
2015-10-01,2015,Oct,60.3,56.7,3198236,3008840,189396,5.9,Arizona,0
2015-11-01,2015,Nov,60.3,56.8,3204955,3017642,187313,5.8,Arizona,0
2015-12-01,2015,Dec,60.3,56.8,3212709,3027448,185261,5.8,Arizona,0
2016-01-01,2016,Jan,60.4,56.9,3220542,3037144,183398,5.7,Arizona,0
2016-02-01,2016,Feb,60.4,57,3227960,3046025,181935,5.6,Arizona,0
2016-03-01,2016,Mar,60.4,57.1,3234359,3053620,180739,5.6,Arizona,0
2016-04-01,2016,Apr,60.4,57.1,3239833,3059997,179836,5.6,Arizona,0
2016-05-01,2016,May,60.4,57.1,3245197,3065928,179269,5.5,Arizona,0
2016-06-01,2016,Jun,60.4,57.1,3250898,3072085,178813,5.5,Arizona,0
2016-07-01,2016,Jul,60.4,57.1,3256816,3078706,178110,5.5,Arizona,0
2016-08-01,2016,Aug,60.4,57.2,3262727,3085510,177217,5.4,Arizona,0
2016-09-01,2016,Sep,60.4,57.2,3268544,3092046,176498,5.4,Arizona,0
2016-10-01,2016,Oct,60.4,57.2,3274187,3098339,175848,5.4,Arizona,0
2016-11-01,2016,Nov,60.4,57.2,3280006,3105116,174890,5.3,Arizona,0
2016-12-01,2016,Dec,60.5,57.3,3286375,3112781,173594,5.3,Arizona,0
2017-01-01,2017,Jan,60.5,57.3,3207827,3040381,167446,5.2,Arizona,0
2017-02-01,2017,Feb,60.5,57.4,3214755,3049108,165647,5.2,Arizona,0
2017-03-01,2017,Mar,60.6,57.5,3222018,3058180,163838,5.1,Arizona,0
2017-04-01,2017,Apr,60.7,57.6,3229183,3067067,162116,5,Arizona,0
2017-05-01,2017,May,60.7,57.7,3235526,3075187,160339,5,Arizona,0
2017-06-01,2017,Jun,60.7,57.8,3240691,3081904,158787,4.9,Arizona,0
2017-07-01,2017,Jul,60.7,57.8,3245145,3087275,157870,4.9,Arizona,0
2017-08-01,2017,Aug,60.7,57.8,3248948,3091379,157569,4.8,Arizona,0
2017-09-01,2017,Sep,60.7,57.7,3252264,3094480,157784,4.9,Arizona,0
2017-10-01,2017,Oct,60.6,57.7,3255727,3097498,158229,4.9,Arizona,0
2017-11-01,2017,Nov,60.6,57.7,3260024,3101312,158712,4.9,Arizona,0
2017-12-01,2017,Dec,60.7,57.7,3265952,3107262,158690,4.9,Arizona,0
2018-01-01,2018,Jan,60.7,57.8,3273805,3115713,158092,4.8,Arizona,0
2018-02-01,2018,Feb,60.8,57.9,3283642,3126500,157142,4.8,Arizona,0
2018-03-01,2018,Mar,60.9,58.1,3294609,3138598,156011,4.7,Arizona,0
2018-04-01,2018,Apr,61.1,58.2,3305181,3150198,154983,4.7,Arizona,0
2018-05-01,2018,May,61.2,58.3,3314729,3160051,154678,4.7,Arizona,0
2018-06-01,2018,Jun,61.2,58.4,3323615,3168258,155357,4.7,Arizona,0
2018-07-01,2018,Jul,61.3,58.4,3332174,3175224,156950,4.7,Arizona,0
2018-08-01,2018,Aug,61.4,58.4,3341526,3181911,159615,4.8,Arizona,0
2018-09-01,2018,Sep,61.4,58.5,3351981,3188931,163050,4.9,Arizona,0
2018-10-01,2018,Oct,61.5,58.5,3362689,3196310,166379,4.9,Arizona,0
2018-11-01,2018,Nov,61.6,58.5,3372618,3203916,168702,5,Arizona,0
2018-12-01,2018,Dec,61.7,58.6,3381265,3211697,169568,5,Arizona,0
2019-01-01,2019,Jan,61.7,58.6,3388861,3219772,169089,5,Arizona,0
2019-02-01,2019,Feb,61.8,58.7,3395900,3228407,167493,4.9,Arizona,0
